ID,Work Item Type,Title,State,Assigned To,Area Path,Iteration Path,Priority,Description,Tags
1,Epic,AZ-400 Handson Bootcamp (3日間),Active,,,Sprint 1,1,AZ-400試験対策のための3日間集中ハンズオン。模擬試験の弱点領域を克服する。,"az400,exam-prep,handson"
2,Feature,Day 1: Git/GitHub/Azure DevOps基礎,Active,,AZ-400-Handson,Sprint 1,1,Git運用、SemVer、CODEOWNERS、Azure Boards連携、基本インフラデプロイ,"day1,git,github"
3,Feature,Day 2: Azure Security (Key Vault/Managed Identity),Active,,AZ-400-Handson,Sprint 1,1,Key Vault IAM理解、Managed Identity実装、Application Insights統合、KQL実践,"day2,security,keyvault"
4,Feature,Day 3: CI/CD完全マスター,Active,,AZ-400-Handson,Sprint 1,1,GitHub Actions実装、Azure Pipelines実装、両者の比較・使い分け理解,"day3,cicd,pipelines"
5,User Story,環境セットアップ,Active,,AZ-400-Handson,Sprint 1,1,Azure CLIインストール、VS Codeセットアップ、Bicep拡張機能インストール,"day1,setup"
6,Task,Azure CLI インストール確認,Completed,,AZ-400-Handson,Sprint 1,2,az --version で確認。未インストールの場合は公式サイトからインストール。,"setup"
7,Task,VS Code + 拡張機能インストール,Completed,,AZ-400-Handson,Sprint 1,2,VS Code、Bicep、Azure Account、GitHub Pull Requests拡張機能をインストール。,"setup"
8,Task,Azureサブスクリプション確認,Completed,,AZ-400-Handson,Sprint 1,2,az login でログイン確認。サブスクリプションが有効であることを確認。,"setup"
9,User Story,Gitリポジトリ初期化とAzure Boards連携,Active,,AZ-400-Handson,Sprint 1,1,新しいGitHubリポジトリを作成し、Azure Boardsと連携する。AB#記法を使ってWork Itemとコミットをリンク。,"day1,git,boards"
10,Task,GitHubリポジトリ作成,Completed,,AZ-400-Handson,Sprint 1,2,GitHub上で新規リポジトリ「az400-handson-bootcamp」を作成。,.gitignoreとREADME.mdを追加。,"git"
11,Task,ローカルリポジトリ初期化,Active,,AZ-400-Handson,Sprint 1,2,git init、git remote add origin、最初のコミット実行。,"git"
12,Task,Azure DevOps プロジェクト作成,Active,,AZ-400-Handson,Sprint 1,2,Azure DevOps組織を作成（または既存を使用）し、新規プロジェクト作成。,"boards"
13,Task,GitHub-Azure Boards連携設定,Active,,AZ-400-Handson,Sprint 1,2,Azure DevOps Project Settings > GitHub connectionsでリポジトリ接続。,"boards"
14,Task,AB#記法の動作確認,Active,,AZ-400-Handson,Sprint 1,2,コミットメッセージに「AB#<work-item-id>」を含めてテスト。Azure Boardsでリンク確認。,"boards"
15,User Story,CODEOWNERSとSemVer実践,Active,,AZ-400-Handson,Sprint 1,1,.github/CODEOWNERSファイルを作成し、チーム別のコードオーナーシップを設定。package.jsonでSemVerを実践。,"day1,codeowners,semver"
16,Task,CODEOWNERSファイル作成,Active,,AZ-400-Handson,Sprint 1,2,.github/CODEOWNERSを作成。インフラチーム、Webアプリチーム、DevOpsチームのオーナーを定義。,"codeowners"
17,Task,SemVerルール理解,Active,,AZ-400-Handson,Sprint 1,2,Major.Minor.Patchの意味を理解。破壊的変更=Major、新機能=Minor、バグ修正=Patchを実践。,"semver"
18,Task,package.jsonバージョン管理,Active,,AZ-400-Handson,Sprint 1,2,package.jsonのversionフィールドで1.0.0からスタート。変更ごとに適切にバージョンアップ。,"semver"
19,User Story,Bicepで基本インフラデプロイ,Active,,AZ-400-Handson,Sprint 1,1,Storage AccountとApp Service PlanをBicepでデプロイ。パラメータファイルで環境別設定を実現。,"day1,bicep,infra"
20,Task,main.bicep作成,Active,,AZ-400-Handson,Sprint 1,2,Storage AccountとApp Service Planのリソース定義を作成。,"bicep"
21,Task,dev.parameters.json作成,Active,,AZ-400-Handson,Sprint 1,2,開発環境用のパラメータファイル作成（environmentName=dev）。,"bicep"
22,Task,Bicepデプロイ実行,Active,,AZ-400-Handson,Sprint 1,2,az deployment group create でデプロイ。リソース作成を確認。,"bicep"
23,Task,デプロイ結果確認,Active,,AZ-400-Handson,Sprint 1,2,Azure Portalでリソースグループを確認。Storage AccountとApp Service Planが存在することを確認。,"bicep"
24,User Story,Key Vault IAM vs Access Policies理解,Active,,AZ-400-Handson,Sprint 1,1,Key VaultのデータプレーンとManagement Planeの違いを完全理解。IAMとAccess Policiesの使い分けを実践。,"day2,keyvault,iam"
25,Task,Key Vault作成（Bicep）,Active,,AZ-400-Handson,Sprint 1,2,modules/keyvault.bicepを作成。enableRbacAuthorization=falseでAccess Policies使用。,"keyvault,bicep"
26,Task,Access Policies設定,Active,,AZ-400-Handson,Sprint 1,2,Managed IdentityにシークレットのgetとlistPermission付与（データプレーン権限）。,"keyvault"
27,Task,IAM設定,Active,,AZ-400-Handson,Sprint 1,2,Key Vault Administratorロールを付与（Management Plane権限）。Bicep roleAssignmentで実装。,"keyvault,iam"
28,Task,動作確認,Active,,AZ-400-Handson,Sprint 1,2,Web AppからKey Vaultのシークレット取得テスト。/secret エンドポイントでテスト。,"keyvault"
29,User Story,Managed Identity実装,Active,,AZ-400-Handson,Sprint 1,1,Web Appでsystem-assigned Managed Identityを有効化。Key Vaultへのアクセスに使用。system vs user-assignedの違いを理解。,"day2,managed-identity"
30,Task,Web App with Managed Identity作成,Active,,AZ-400-Handson,Sprint 1,2,modules/webapp.bicepでidentity.type='SystemAssigned'を設定。,"webapp,bicep"
31,Task,Node.js SDK実装,Active,,AZ-400-Handson,Sprint 1,2,@azure/identityのDefaultAzureCredentialを使用。SecretClientでKey Vaultアクセス。,"nodejs,sdk"
32,Task,system vs user-assigned理解,Active,,AZ-400-Handson,Sprint 1,2,system=1対1、user=複数リソース共有の違いを理解。試験問題パターンを復習。,"managed-identity"
33,User Story,Application Insights統合,Active,,AZ-400-Handson,Sprint 1,1,Application InsightsをWeb Appに統合。カスタムメトリクスとイベントを送信。監視ダッシュボードを確認。,"day2,appinsights,monitoring"
34,Task,Application Insights作成（Bicep）,Active,,AZ-400-Handson,Sprint 1,2,modules/appinsights.bicepを作成。RetentionInDays=30で設定。,"appinsights,bicep"
35,Task,SDK統合,Active,,AZ-400-Handson,Sprint 1,2,applicationinsights npmパッケージをインストール。app.jsで初期化。,"nodejs,sdk"
36,Task,カスタムメトリクス送信,Active,,AZ-400-Handson,Sprint 1,2,trackMetric()、trackEvent()でカスタムデータ送信。,"appinsights"
37,Task,Azure Portalで確認,Active,,AZ-400-Handson,Sprint 1,2,Application Insights > Metrics/Logsでデータ可視化確認。,"appinsights"
38,User Story,KQL実践,Active,,AZ-400-Handson,Sprint 1,1,Application InsightsのKQLクエリを実践。bin、extend、project、percentileの使い方をマスター。,"day2,kql,queries"
39,Task,基本クエリ実行,Active,,AZ-400-Handson,Sprint 1,2,requestsテーブルで基本的なwhere、project、summarizeを実行。,"kql"
40,Task,bin()で時間集計,Active,,AZ-400-Handson,Sprint 1,2,bin(timestamp 1h)で1時間ごとの集計。時系列グラフ作成。,"kql"
41,Task,extend vs project理解,Active,,AZ-400-Handson,Sprint 1,2,extend=カラム追加、project=カラム選択の違いを実践で確認。,"kql"
42,Task,percentile()実践,Active,,AZ-400-Handson,Sprint 1,2,percentile(duration 95)で95パーセンタイル取得。SLA監視に利用。,"kql"
43,User Story,GitHub Actions CI/CD実装,Active,,AZ-400-Handson,Sprint 1,1,GitHub ActionsでCI/CDパイプラインを実装。ビルド、テスト、Dockerイメージ作成、Azure Web Appデプロイ。,"day3,github-actions,cicd"
44,Task,Service Principal作成,Active,,AZ-400-Handson,Sprint 1,2,az ad sp create-for-rbac でService Principal作成。JSON出力をGitHub Secretsに保存。,"service-principal"
45,Task,GitHub Secrets設定,Active,,AZ-400-Handson,Sprint 1,2,AZURE_CREDENTIALS、ACR_LOGIN_SERVER、ACR_USERNAME、ACR_PASSWORDを設定。,"github,secrets"
46,Task,CI Pipeline YAML作成,Active,,AZ-400-Handson,Sprint 1,2,.github/workflows/ci-github-actions.ymlを作成。ビルド、テスト、Docker build & push。,"github-actions,yaml"
47,Task,CD Pipeline YAML作成,Active,,AZ-400-Handson,Sprint 1,2,.github/workflows/cd-github-actions.ymlを作成。Dev→Staging→Prod環境デプロイ。,"github-actions,yaml"
48,Task,Dependabot設定,Active,,AZ-400-Handson,Sprint 1,2,.github/dependabot.ymlを作成。npm、Docker、GitHub Actionsの依存関係自動更新。,"security,dependabot"
49,Task,CodeQL設定,Active,,AZ-400-Handson,Sprint 1,2,.github/workflows/security-scan.ymlを作成。静的コード分析。,"security,codeql"
50,User Story,Azure Pipelines CI/CD実装,Active,,AZ-400-Handson,Sprint 1,1,Azure PipelinesでCI/CDパイプラインを実装。GitHub Actionsとの比較を理解。,"day3,azure-pipelines,cicd"
51,Task,Service Connection設定,Active,,AZ-400-Handson,Sprint 1,2,Azure DevOps Project Settings > Service connectionsでAzure RMとACR接続作成。,"azure-pipelines,service-connection"
52,Task,azure-pipelines.yml作成,Active,,AZ-400-Handson,Sprint 1,2,.azure/pipelines/azure-pipelines.ymlを作成。Multi-stageパイプライン実装。,"azure-pipelines,yaml"
53,Task,Branch Policy設定,Active,,AZ-400-Handson,Sprint 1,2,mainブランチにBuild Validation、Reviewers、Work Item linkingポリシーを設定。,"azure-pipelines,branch-policy"
54,Task,パイプライン実行確認,Active,,AZ-400-Handson,Sprint 1,2,mainブランチへのPRでパイプライン自動実行確認。,"azure-pipelines"
55,User Story,GitHub Actions vs Azure Pipelines比較,Active,,AZ-400-Handson,Sprint 1,1,両者の違いを理解。並列ジョブ、価格、機能の比較表を作成。使い分けガイドラインを理解。,"day3,comparison"
56,Task,比較表作成,Active,,AZ-400-Handson,Sprint 1,2,価格、並列ジョブ、実行環境、Marketplaceなど項目別に比較表作成。,"comparison"
57,Task,使い分けガイドライン理解,Active,,AZ-400-Handson,Sprint 1,2,GitHub Actions向きケース、Azure Pipelines向きケースを整理。,"comparison"
58,Task,並列ジョブの概念理解,Active,,AZ-400-Handson,Sprint 1,2,Microsoft-hosted vs Self-hostedの違い。タイムアウト対策を理解。,"parallel-jobs"
59,User Story,完全なDevOpsワークフロー実行,Active,,AZ-400-Handson,Sprint 1,1,Work Item作成→ブランチ作成→コミット（AB#記法）→PR→CI→CD→監視の完全フロー実行。,"day3,workflow"
60,Task,新機能Work Item作成,Active,,AZ-400-Handson,Sprint 1,2,Azure Boardsで新しいUser Storyを作成。,"boards"
61,Task,feature ブランチ作成,Active,,AZ-400-Handson,Sprint 1,2,git checkout -b feature/AB#XX-new-featureでブランチ作成。,"git"
62,Task,AB#記法でコミット,Active,,AZ-400-Handson,Sprint 1,2,git commit -m feat: 新機能追加（AB#XX）でコミット。,"git,boards"
63,Task,PR作成,Active,,AZ-400-Handson,Sprint 1,2,GitHub Web UIでPR作成。タイトルと本文にAB#XX記載。,"github,pr"
64,Task,CI/CD実行確認,Active,,AZ-400-Handson,Sprint 1,2,GitHub ActionsとAzure Pipelinesの両方でCI/CD実行確認。,"cicd"
65,Task,Application Insights監視,Active,,AZ-400-Handson,Sprint 1,2,KQLクエリでリクエスト確認。エラー率確認。,"monitoring,kql"
66,Task,Work Item自動クローズ確認,Active,,AZ-400-Handson,Sprint 1,2,PRマージ後、Azure BoardsでWork ItemがClosedになることを確認。,"boards"
